[2026-03-28T01:01:22.056Z] GET http://localhost:5173/node_modules/.vite/deps/vue.runtime.esm-bundler-Cg9CpxwA.js?v=43e7f08c → 200 (?ms, ?B)
[2026-03-28T01:01:22.059Z] GET http://localhost:5173/src/stores/theme.ts → 304 (4ms, ?B)
[2026-03-28T01:01:22.059Z] GET http://localhost:5173/src/components/ui/WxToast.vue → 304 (4ms, ?B)
[2026-03-28T01:01:22.059Z] GET http://localhost:5173/@id/__x00__plugin-vue:export-helper → 304 (4ms, ?B)
[2026-03-28T01:01:22.060Z] GET http://localhost:5173/node_modules/.vite/deps/vue-router.js?v=43e7f08c → 200 (?ms, ?B)
[2026-03-28T01:01:22.063Z] GET http://localhost:5173/node_modules/.vite/deps/lucide-vue-next.js?v=43e7f08c → 200 (?ms, ?B)
[2026-03-28T01:01:22.064Z] GET http://localhost:5173/src/composables/useToast.ts → 304 (?ms, ?B)
[2026-03-28T01:01:22.064Z] GET http://localhost:5173/src/components/ui/WxToast.vue?vue&type=style&index=0&scoped=10b2b8a4&lang.css → 304 (1ms, ?B)
[2026-03-28T01:01:22.064Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (?ms, ?B)
[2026-03-28T01:01:22.065Z] GET http://localhost:5173/src/stores/toast.ts → 304 (1ms, ?B)
[2026-03-28T01:01:22.075Z] GET http://localhost:5173/src/layouts/DefaultLayout.vue?t=1774658011316 → 304 (27ms, ?B)
[2026-03-28T01:01:22.075Z] GET http://localhost:5173/src/views/ui/ModalsView.vue?t=1774658473761 → 200 (28ms, 70882B)
[2026-03-28T01:01:22.103Z] GET http://localhost:5173/src/stores/sidebar.ts → 304 (1ms, ?B)
[2026-03-28T01:01:22.103Z] GET http://localhost:5173/src/stores/ui.ts → 304 (3ms, ?B)
[2026-03-28T01:01:22.103Z] GET http://localhost:5173/src/components/layout/WxSideNav.vue → 304 (3ms, ?B)
[2026-03-28T01:01:22.103Z] GET http://localhost:5173/src/components/layout/WxThemeToggle.vue → 304 (5ms, ?B)
[2026-03-28T01:01:22.103Z] GET http://localhost:5173/src/components/layout/WxNotificationDropdown.vue?t=1774657997574 → 304 (10ms, ?B)
[2026-03-28T01:01:22.103Z] GET http://localhost:5173/src/components/layout/WxMessageDropdown.vue?t=1774658005341 → 304 (14ms, ?B)
[2026-03-28T01:01:22.103Z] GET http://localhost:5173/src/components/layout/WxUserMenu.vue?t=1774658011316 → 304 (15ms, ?B)
